State	Organization	URL	Status	Title	MetaDescription	H1s	PrimaryNavCTAs	DonateURL	VolunteerURL	LandownerURL	EmailCapture	Socials	CMSHints	AnalyticsHints	Facebook	Instagram	YouTube	LinkedIn
Illinois	Openlands	https://openlands.org/	200	Home | Openlands	As innovative protectors and stewards of the land since 1963, Openlands exists to create access to nature for all. Through local alliances, forward vision, and persistent action, Openlands connects and leads conservation work, serving as a guiding voice for communities, organizations, and more effective policy in northeastern Illinois and the surrounding region.		Get Outside|Get Outside Mega Menu||The Openlands Get Outside Map||Paddle Northeastern Illinois||Explore Regional Trails|Paddling Newsletter Signup|Get Involved	https://form-renderer-app.donorperfect.io/give/openlands/online-donation-form	https://openlands.org/ways-to-give/volunteer-with-openlands/		No	"{""facebook"": ""https://www.facebook.com/openlandschicago"", ""linkedin"": ""https://www.linkedin.com/company/openlands"", ""twitter"": ""https://twitter.com/openlands"", ""instagram"": ""https://www.instagram.com/openlands/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/openlandschicago	https://www.instagram.com/openlands/		https://www.linkedin.com/company/openlands
Illinois	Prairie Land Conservancy	https://www.prairielandconservancy.org/index.html	200	Prairie Land Conservancy - Home	Photo by Dan Moorehouse			https://www.prairielandconservancy.org/donate.html	https://www.prairielandconservancy.org/volunteer-with-us.html	https://www.prairielandconservancy.org/options-for-landowners.html	Yes	"{""facebook"": ""https://www.facebook.com/PrairieLandConservancy/"", ""instagram"": ""https://www.instagram.com/prairielandconservancy/"", ""youtube"": ""https://www.youtube.com/channel/UCBaaTm8jgyCLgI_IBhHRHwg/featured?view_as=subscriber"", ""linkedin"": ""https://www.linkedin.com/company/prairie-hills-resource-conservation-and-development-inc""}"			https://www.facebook.com/PrairieLandConservancy/	https://www.instagram.com/prairielandconservancy/	https://www.youtube.com/channel/UCBaaTm8jgyCLgI_IBhHRHwg/featured?view_as=subscriber	https://www.linkedin.com/company/prairie-hills-resource-conservation-and-development-inc
Illinois	The Conservation Foundation	https://theconservationfoundation.org/	200	Home - The Conservation Foundation	We save land. We save rivers. The support of more than 5,000 members and 500 volunteers helps us carry out our mission to improve the health of our communities by preserving and restoring open space and natural lands, protecting rivers and watersheds, and promoting stewardship of our environment in northeastern Illinois. We focus our work		Who We Are|Mission, Vision, and Values|History and Founders|People|Diversity, Equity, and Inclusion|Finances and Policies|Dickson-Murst Farm|McDonald Farm|Dayton Bluffs|What We Do	https://theconservationfoundation.org/get-involved/donate/	https://theconservationfoundation.org/volunteer	https://theconservationfoundation.org/land/private-landowners/	Yes	"{""facebook"": ""https://www.facebook.com/pages/The-Conservation-Foundation/130550789762"", ""instagram"": ""https://www.instagram.com/theconservationfoundation"", ""youtube"": ""https://www.youtube.com/channel/UC2YywN4LMzCxSCv219MV56A"", ""linkedin"": ""https://www.linkedin.com/company/conservation-foundation-the/"", ""tiktok"": ""https://www.tiktok.com/@conservationfoundation""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/pages/The-Conservation-Foundation/130550789762	https://www.instagram.com/theconservationfoundation	https://www.youtube.com/channel/UC2YywN4LMzCxSCv219MV56A	https://www.linkedin.com/company/conservation-foundation-the/
Illinois	The Land Conservancy of McHenry County	https://conservemc.org	200	Home - The Land Conservancy of McHenry County	DONATE MEMBERSHIPS CONSERVATION@ TLC EVENTS TLC STORE Latest News & Events more TLC Blog more Discover TLC’s YouTube Channel With videos covering events, webinars & how-to tips More Videos	Discover TLC’s YouTube Channel	|	https://conservemc.org/land-donations/	https://conservemc.org/volunteer/	https://conservemc.org/landowner-stories/	No	"{""facebook"": ""https://www.facebook.com/ConserveMC"", ""instagram"": ""https://www.instagram.com/conservemchenrycounty/"", ""youtube"": ""https://www.youtube.com/c/landconservancyofmchenrycounty""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/ConserveMC	https://www.instagram.com/conservemchenrycounty/	https://www.youtube.com/c/landconservancyofmchenrycounty	
Indiana	Central Indiana Land Trust	https://conservingindiana.org/	200	Homepage - Central Indiana Land Trust	Central Indiana Land Trust, Inc. (CILTI) preserves the best of Central Indiana’s natural areas so all can experience the wonder of the state’s natural heritage.	Saving Nature, Awakening Wonder|Trek Our Trails	Volunteer|Email Signup|Donate	https://conservingindiana.org/donate-to-cilti/	https://conservingindiana.org/volunteer/	https://conservingindiana.org/#void	Yes	"{""facebook"": ""https://www.facebook.com/conservingindiana/"", ""instagram"": ""https://www.instagram.com/centralindianalandtrust/"", ""linkedin"": ""https://www.linkedin.com/company/central-indiana-land-trust-inc"", ""youtube"": ""https://www.youtube.com/@centralindianalandtrust8410""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/conservingindiana/	https://www.instagram.com/centralindianalandtrust/	https://www.youtube.com/@centralindianalandtrust8410	https://www.linkedin.com/company/central-indiana-land-trust-inc
Indiana	NICHES Land Trust	https://www.nicheslandtrust.org	200	Protecting Natural Lands in West-Central Indiana - NICHES Land Trust	Protecting west-central Indiana's native ecosystems and connecting people to nature. Join us to preserve and protect that land you cherish. 	You deserve a trustworthy way to protect your natural surroundings.	About Us|Staff and Board Members|Job Opportunities|Stewardship|Sponsors|Ways to Give|Black Rock Society|The Sprout Newsletter|What You Should Know|Map of Properties	https://www.nicheslandtrust.org/ways-to-give	https://www.nicheslandtrust.org/volunteer		No	"{""facebook"": ""https://www.facebook.com/NICHEShelpingecosystemssurvive"", ""youtube"": ""https://www.youtube.com/user/NICHESLandTrust1""}"		Google Analytics/Tag Manager	https://www.facebook.com/NICHEShelpingecosystemssurvive		https://www.youtube.com/user/NICHESLandTrust1	
Indiana	Shirley Heinze Land Trust	https://heinzetrust.org/	200	Home - Shirley Heinze Land Trust	Since 1981, Shirley Heinze Land Trust has been dedicated to the preservation and restoration of significant natural areas throughout northwestern Indiana. Today, approximately 4,000 acres across Lake, Porter, LaPorte, St. Joseph, Marshall, and Starke counties are permanently protected, and most of our nature preserves are open to the public to explore and enjoy. We invite […]		Home|Preserves|All Preserves|Lake County Preserves|Bayless Dune|Bur Oak Woods|Cressmoor Prairie|Gordon & Faith Greiner Nature Preserve|Green Heron Pond|Hidden Prairie & Ivory Wetlands	https://heinzetrust.org/donate/	https://heinzetrust.org/volunteer/		No	"{""facebook"": ""https://www.facebook.com/heinzetrust/"", ""instagram"": ""https://www.instagram.com/heinzetrust/"", ""linkedin"": ""https://www.linkedin.com/company/shirley-heinze-land-trust-inc/"", ""youtube"": ""https://www.youtube.com/channel/UCE4PbL8DLIo5T8nUl8TDIHQ""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/heinzetrust/	https://www.instagram.com/heinzetrust/	https://www.youtube.com/channel/UCE4PbL8DLIo5T8nUl8TDIHQ	https://www.linkedin.com/company/shirley-heinze-land-trust-inc/
Indiana	Sycamore Land Trust	https://sycamorelandtrust.org	200	Sycamore Land Trust		FOR FOREVER|11,727 ACRES PROTECTED FOREVER, THANKS TO YOU!|11,727 ACRES PROTECTED FOREVER, THANKS TO YOU!	ABOUT US|Our Mission|Staff & Board|Contact Us|Sycamore’s History|Founders Stories|FAQs|Annual Reports|Financial Information|JOIN OUR TEAM	https://sycamorelandtrust.org/give/	https://sycamorelandtrust.org/volunteer/		No	"{""facebook"": ""https://www.facebook.com/SycamoreLandTrust/"", ""instagram"": ""https://www.instagram.com/sycamorelandtrust/"", ""twitter"": ""https://twitter.com/syclandtrust""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/SycamoreLandTrust/	https://www.instagram.com/sycamorelandtrust/		
Iowa	Bur Oak Land Trust	https://buroaklandtrust.org	200	Bur Oak Land Trust		ADVANCING BIODIVERSITY IN EASTERN IOWA	Home|Explore|Preserves|Property Usage Information|Serve|Give|Ways to Give|Event Sponsorships|Planned Giving|News	https://buroaklandtrust-bloom.kindful.com/		https://buroaklandtrust.org/property-usage-information/	No	"{""instagram"": ""https://www.instagram.com/buroaklandtrust/"", ""facebook"": ""https://www.facebook.com/BurOakLandTrust"", ""youtube"": ""https://www.youtube.com/channel/UC0Tpsm3tqmtQ9IUsCABgLJQ"", ""linkedin"": ""https://www.linkedin.com/company/buroaklandtrust/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/BurOakLandTrust	https://www.instagram.com/buroaklandtrust/	https://www.youtube.com/channel/UC0Tpsm3tqmtQ9IUsCABgLJQ	https://www.linkedin.com/company/buroaklandtrust/
Iowa	Iowa Natural Heritage Foundation	https://www.inhf.org	200	Welcome | Iowa Natural Heritage Foundation	INHF is a statewide conservation organization that works with private landowners and public agencies to protect and restore Iowa’s land, water and wildlife.	Iowa Natural Heritage Foundation	About Us|Mission & Values|Staff|Internships|Jobs|Board of Directors|Publications|Annual Reports and Financials|Blog|What We Do	https://www.inhf.org/donation	https://www.inhf.org/take-action/volunteer	https://www.inhf.org/what-we-do/protection/protect-your-land	Yes	"{""instagram"": ""https://www.instagram.com/inhf"", ""facebook"": ""https://www.facebook.com/IowaNaturalHeritage/"", ""youtube"": ""https://www.youtube.com/@theinhf""}"		Google Analytics/Tag Manager	https://www.facebook.com/IowaNaturalHeritage/	https://www.instagram.com/inhf	https://www.youtube.com/@theinhf	
Kansas	Kansas Land Trust	https://www.klt.org	200	Kansas Land Trust		DISC GOLF TOURNAMENT|Help protect special places.	About Us|Our Work|Events|Conservation Stories|Ways to Give	https://www.klt.org/plannedgiving			No	"{""instagram"": ""https://instagram.com/kansaslandtrust"", ""facebook"": ""https://www.facebook.com/squarespace""}"	Squarespace		https://www.facebook.com/squarespace	https://instagram.com/kansaslandtrust		
Kansas	Ranchland Trust of Kansas	https://ranchlandtrustofkansas.org/	200	Home  - Ranchland Trust of Kansas	The RTK golf tournament is on August 27 and all are welcome to join. Sign up a team today! The RTK Summer Matching Challenge ends July 31. Double your impac ...	ABOUT US-|WHAT’S NEW AT RTK		https://ranchlandtrustofkansas.org/donate/		https://ranchlandtrustofkansas.org/conservation-easements/#easements101	No	"{""facebook"": ""https://www.facebook.com/RanchlandTrustofKansas/"", ""instagram"": ""https://www.instagram.com/ranchlandtrustofkansas/"", ""linkedin"": ""https://www.linkedin.com/company/ranchland-trust-of-kansas-inc/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/RanchlandTrustofKansas/	https://www.instagram.com/ranchlandtrustofkansas/		https://www.linkedin.com/company/ranchland-trust-of-kansas-inc/
Kentucky	Bluegrass Land Conservancy	https://www.bluegrasslandconservancy.org	200	Home - Bluegrass Land Conservancy	BLUEGRASS LAND CONSERVANCY Preserving Kentucky’s Bluegrass Region. Forever. DONATE TODAY Sept 18, 2025 DONATE HERE Dec 2, 2025 WHAT WE DO Ensuring Our Future Founded in 1995, Bluegrass Land Conservancy works to protect the Bluegrass region of Kentucky through land conservation for future generations. bECOME A MONTHLY DONOR ACRES OF IMPACT Over the past 30 […]		About|Our Impact|Land Conservation|Protected Lands|News & Events|BLC’s Annual Awards|Support Our Work|Connect	http://weblink.donorperfect.com/BLC_DonationPage			Yes	"{""facebook"": ""https://www.facebook.com/bluegrassconservancy"", ""instagram"": ""https://www.instagram.com/blconservancy/"", ""linkedin"": ""https://www.linkedin.com/company/bluegrass-conservancy""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/bluegrassconservancy	https://www.instagram.com/blconservancy/		https://www.linkedin.com/company/bluegrass-conservancy
Kentucky	Kentucky Natural Lands Trust	https://knlt.org	200	Home - KNLT	KNLT Establishes Limestone Gap Preserve on Pine Mountain Kentucky Natural Lands Trust is proud to announce the establishment of the Limestone Gap Preserve, a 204-acre preserve on the north face of Pine Mountain  safeguarding the viewshed of the City of Pineville. Read more>> Photo credit ~ Limestone Gap Preserve ~ Ted Wathen, Kentucky Documentary Photographic […]		Our Work|Places We Protect|Conserve Your Land|Get Involved|About Us|Donate	https://knlt.org/get-involved/#donate		https://knlt.org/conserve/	No	"{""facebook"": ""https://www.facebook.com/KentuckyNaturalLandsTrust"", ""instagram"": ""https://instagram.com/kywildlands/"", ""youtube"": ""https://www.youtube.com/channel/UC5qpmYk5ixckFc1h73FE8Mw"", ""vimeo"": ""https://vimeo.com/knlt""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/KentuckyNaturalLandsTrust	https://instagram.com/kywildlands/	https://www.youtube.com/channel/UC5qpmYk5ixckFc1h73FE8Mw	
Kentucky	Louisville & Jefferson County Environmental Trust	https://louisvilleky.gov/government/advanced-planning/land-trust	403	Just a moment...							No	{}						
Kentucky	River Fields	https://riverfields.org/	200	Home - River Fields	We are an independent, member-supported Louisville-based nonprofit that has been protecting, advocating for, and educating about the Ohio River and its natural and cultural treasures for 66 years. Support us on Sept. 18 Give for Good Day! Please visit River…		Our Work|Slideshow|Visit Garvin Brown|Support|About Us|News|Events|Contact||	https://www.giveforgoodlouisville.org/organization/River-Fields	http://riverfields.org/ways-to-give/#volunteer	https://riverfields.org/conserve-your-land/	No	"{""facebook"": ""https://www.facebook.com/riverfieldsky"", ""instagram"": ""https://www.instagram.com/riverfieldsinc/"", ""youtube"": ""https://www.youtube.com/@riverfieldslouisville""}"	WordPress		https://www.facebook.com/riverfieldsky	https://www.instagram.com/riverfieldsinc/	https://www.youtube.com/@riverfieldslouisville	
Kentucky	Woods and Waters Land Trust	https://woodsandwaterslandtrust.org	FetchError:ERROR: Cannot connect to host woodsandwaterslandtrust.org:443 ssl:default [nodename nor servname provided, or not known]															
Louisiana	Land Trust for Louisiana	https://landtrustforlouisiana.org/	200	Land Trust for Louisiana | Land Conservation	LTL Land Conservation: Join us in protecting Louisiana’s land and waters for generations to come. Act now to protect Louisiana’s legacy forever.		About|Conservation|Landowners FAQ|Properties Map|Our Team|Get Involved|Give a Gift|Donate Easement|Volunteer|Sponsors	https://landtrustforlouisiana.org/get-involved#funds	https://landtrustforlouisiana.org/get-involved#volunteer	https://landtrustforlouisiana.org/landowners/	No	"{""facebook"": ""https://www.facebook.com/LandTrustforLA"", ""twitter"": ""https://twitter.com/LandTrustforLA"", ""instagram"": ""https://www.instagram.com/landtrustforlouisiana/?hl=en""}"	WordPress		https://www.facebook.com/LandTrustforLA	https://www.instagram.com/landtrustforlouisiana/?hl=en		
Maine	Androscoggin Land Trust	https://androscogginlandtrust.org	200	Androscoggin Land Trust  - Androscoggin Land Trust	ALT works to conserve and steward critical land in perpetuity for Androscoggin River watershed protection, wildlife habitat, natural resources, and outdoor  ...	Latest News|Upcoming Events|Become a Member	About|Mission & History|Business Members|Staff & Board|Explore Land|Conserved Lands|Trail Maps|L/A Riverwalk Tour (Travelstorys App)|Events & News|Events	https://androscogginlandtrust.org/become-a-member/	https://androscogginlandtrust.org/getting-involved/volunteer/	https://androscogginlandtrust.org/protecting-land/protect-your-land/	No	"{""facebook"": ""//facebook.com/AndroscogginLandTrust/""}"	WordPress		//facebook.com/AndroscogginLandTrust/			
Maine	Bangor Land Trust	https://www.bangorlandtrust.org	200	Home	Bangor Land Trust is a nonprofit organization that has conserved over 800 acres of land with trails open to the public in Bangor, Maine.			https://www.bangorlandtrust.org/donate-508893.html	https://www.bangorlandtrust.org/volunteer.html		Yes	"{""facebook"": ""https://www.facebook.com/bangorlandtrust/"", ""instagram"": ""https://www.instagram.com/bangorlandtrust/""}"		Google Analytics/Tag Manager	https://www.facebook.com/bangorlandtrust/	https://www.instagram.com/bangorlandtrust/		
Maine	Blue Hill Heritage Trust	https://bluehillheritagetrust.org/	200	Blue Hill Heritage Trust, a Community-based Land Conservation Group		News from BHHT|Upcoming Events	||About|About The Trust|Conservation and Climate Change|Celebrating 40 Years of Conservation on the Blue Hill Peninsula|Our Staff|Board of Directors|James W. Dow Internship Program|News	https://bluehillheritagetrust.org/donate-2	https://bluehillheritagetrust.org/volunteer/		No	"{""facebook"": ""https://www.facebook.com/pages/Blue-Hill-Heritage-Trust/168213194339"", ""instagram"": ""https://www.instagram.com/bluehillheritagetrust/"", ""youtube"": ""https://www.youtube.com/@BlueHillHeritageTrustBHHT""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/pages/Blue-Hill-Heritage-Trust/168213194339	https://www.instagram.com/bluehillheritagetrust/	https://www.youtube.com/@BlueHillHeritageTrustBHHT	
Maine	Boothbay Region Land Trust	https://bbrlt.org	200	Home - Boothbay Region Land Trust		Here for you. For good.	facebook|youtube|instagram|Trails|News|Contact Us|Donate	https://bbrlt.org/donate/	https://bbrlt.org/support/volunteer/	https://bbrlt.org/what-we-do/land-protection/	No	"{""facebook"": ""https://www.facebook.com/Boothbay-Region-Land-Trust-115571401800163/"", ""youtube"": ""https://www.youtube.com/channel/UCRergpLHcBYhgIb-bqaqhzA"", ""instagram"": ""https://www.instagram.com/boothbay_region_land_trust/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/Boothbay-Region-Land-Trust-115571401800163/	https://www.instagram.com/boothbay_region_land_trust/	https://www.youtube.com/channel/UCRergpLHcBYhgIb-bqaqhzA	
Maine	Brunswick-Topsham Land Trust	https://www.btlt.org	200	Brunswick-Topsham Land Trust	Brunswick-Topsham Land Trust  is a local land trust, serving the communities of Brunswick, Topsham, and Bowdoin, Maine.		About|Mission|Strategic Plan 2023-2027|Serving Everyone|Staff|Board of Directors|Employment|Get Outside|Land Trust Trails|CREA Ecology Center	https://www.btlt.org/waystogive/	https://www.btlt.org/garden-volunteers/		No	"{""facebook"": ""http://facebook.com/brunswicktopsham"", ""instagram"": ""https://www.instagram.com/brunswicktopsham/"", ""youtube"": ""https://www.youtube.com/@BtltOrg"", ""linkedin"": ""https://www.linkedin.com/company/brunswick-topsham-land-trust/""}"	WordPress	Google Analytics/Tag Manager	http://facebook.com/brunswicktopsham	https://www.instagram.com/brunswicktopsham/	https://www.youtube.com/@BtltOrg	https://www.linkedin.com/company/brunswick-topsham-land-trust/
Maine	Cape Elizabeth Land Trust	https://www.capelandtrust.org	200	Cape Elizabeth Land Trust - Preserving the rural character of Cape Elizabeth for future generations	The Cape Elizabeth Land Trust permanently conserves and stewards cherished lands – from shorelands to marshes, from farmlands to woodlands – for ecological benefit and for the enjoyment and education of all people.		Who We Are|Why CELT Matters|Values|Mission & History|Board of Directors|Employment & Internships|Staff|Forever Cape Campaign|Strategic Plan|What We Do	https://donatenow.networkforgood.org/capelandtrustmaine?code=web%2Dbutton%2Dtop	https://www.capelandtrust.org/show-your-support/volunteer-your-time/	https://www.capelandtrust.org	Yes	"{""facebook"": ""https://www.facebook.com/celtmaine"", ""instagram"": ""https://www.instagram.com/celtmaine/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/celtmaine	https://www.instagram.com/celtmaine/		
Maine	Chebeague & Cumberland Land Trust	https://www.ccltmaine.org	200	Chebeague & Cumberland Land Trust		|Nurturing Land, Sea, and Community|Explore the Outdoors	Welcome|All Properties|Map View|Stewardship|Events|Videos|Big Night|Our Story|Strategic Priorities|Board & Staff	https://www.ccltmaine.org/donate	https://www.ccltmaine.org/volunteer	https://www.ccltmaine.org/conserving-your-land	Yes	"{""instagram"": ""http://instagram.com/chebeaguecumblandtrust"", ""facebook"": ""https://www.facebook.com/ChebeagueAndCumberlandLandTrust/""}"	Squarespace		https://www.facebook.com/ChebeagueAndCumberlandLandTrust/	http://instagram.com/chebeaguecumblandtrust		
Maine	Coastal Mountains Land Trust	https://www.coastalmountains.org	200	Coastal Mountains Land Trust – PROTECTING LAND FOR THE COMMUNITY, FOREVER.		Protecting land for the community,forever.|GET OUTSIDE|OUR PLACE	|ABOUT US|GIVE & JOIN|OUR WORK|PRESERVES AND TRAILS|WATCH OUR VIDEOS|LEARN OUTSIDE!|YOUR STORIES|MAPS|NEWS	https://www.coastalmountains.org/give-and-join/	https://www.coastalmountains.org/give-and-join/volunteer/		No	"{""instagram"": ""https://www.instagram.com/coastal_mountains_land_trust/"", ""facebook"": ""https://www.facebook.com/coastalmountainslt/""}"	WordPress		https://www.facebook.com/coastalmountainslt/	https://www.instagram.com/coastal_mountains_land_trust/		
Maine	Coastal Rivers Conservation Trust	https://www.coastalrivers.org	200	Coastal Rivers Conservation Trust	A Community-Supported Land Trust Caring for the lands and waters you love in the Damariscotta-Pemaquid region A Community-Supported Land Trust Caring for the lands and waters you love in the […]	Caring for the lands and waters you love in the Damariscotta-Pemaquid region	Home|Explore|Events & programs|Calendar|Youth & families|Camp Mummichog|Beachcombers’ Discovery Center|Educators|Nature education programs|Wabanaki program	https://www.coastalrivers.org/ways-to-give/donate	https://www.coastalrivers.org/ways-to-give/volunteer/	https://www.coastalrivers.org/ways-to-give/conserve-your-land/	No	"{""facebook"": ""https://www.facebook.com/coastalrivers/"", ""instagram"": ""https://www.instagram.com/coastalriverstrust/"", ""youtube"": ""https://www.youtube.com/channel/UCAJwiQqTEE6-1SMCt-fK_CA""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/coastalrivers/	https://www.instagram.com/coastalriverstrust/	https://www.youtube.com/channel/UCAJwiQqTEE6-1SMCt-fK_CA	
Maine	Downeast Coastal Conservancy	https://downeastcoastalconservancy.org/	200	Downeast Coastal Conservancy | Machias, Maine		Protecting Downeast Landscapes|DCC Trails|Events	Home|About|Mission & Vision|History & Region|Blog & News|Staff & Board|Jobs|Form 990|Trails|Trails Overview & Map	https://downeastcoastalconservancy.org/ways-to-give/	https://downeastcoastalconservancy.org/donate/volunteer/	https://downeastcoastalconservancy.org/land-protection/	Yes	"{""facebook"": ""https://www.facebook.com/DowneastCoastalConservancy/"", ""instagram"": ""https://www.instagram.com/downeastcoastalconservancy/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/DowneastCoastalConservancy/	https://www.instagram.com/downeastcoastalconservancy/		
Maine	Forest Society of Maine	https://www.fsmaine.org	200	Forest Society of Maine	The Forest Society of Maine (FSM) is a state-wide land trust particularly focused on Maine’s North Woods, the largest expanse of forestland east of the Rocky Mountains.	Forest Society of Maine	Home|About|Committed to Diversity|All About FSM|Mission|F.A.Q.’s|Meet our Staff|Directors and Advisors|Swan Internship|Conserved Lands	https://www.fsmaine.org/ways-to-give/			No	"{""facebook"": ""https://www.facebook.com/ForestSocietyofMaine/"", ""instagram"": ""https://www.instagram.com/forest_society_of_maine/"", ""linkedin"": ""https://www.linkedin.com/company/forest-society-of-maine/""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/ForestSocietyofMaine/	https://www.instagram.com/forest_society_of_maine/		https://www.linkedin.com/company/forest-society-of-maine/
Maine	Frenchman Bay Conservancy	https://frenchmanbay.org/	200	Frenchman Bay Conservancy: Protecting the land you love in Downeast Maine	Frenchman Bay Conservancy (FBC) protects the lands of the Frenchman Bay and Union River Watersheds in Eastern Hancock County, Maine.	Frenchman Bay Conservancy|Primary navigation	Trails|Find A Preserve|Activities|Conservation|Land Protection Priorities|Stewardship|Nature-Based Education|Events|News|Newsletters	https://secure.donationpay.org/frenchmanbay/	https://frenchmanbay.org/volunteer-opportunities/	https://frenchmanbay.org/land-protection-priorities/	Yes	{}	WordPress	Google Analytics/Tag Manager				
Maine	Georges River Land Trust	https://www.georgesriver.org	200	Georges River Land Trust | Georges River | P.O. Box B, Rockland, ME 04841	"Georges River Land Trust
Conservation in MidCoast Maine
Georges River Watershed
Public trails in MidCoast Maine"	Keep up with us!Sign up for Ripples, our monthly email newsletter, to receive conservation updates and find out about upcoming community events.	Conservation|News|Our Team|Events|Youth Programs|Scavenger Hunt|Become a member!|Volunteer|Trails + Preserves	https://secure.lglforms.com/form_engine/s/Zs3Nu3URdpOKYTOFSmyAYg	https://www.georgesriver.org/volunteer		No	"{""facebook"": ""https://www.facebook.com/GeorgesRiverLandTrust"", ""twitter"": ""https://twitter.com/intent/tweet?url=https://www.georgesriver.org/event-details/trail-ecosystem-workshop-volunteer-workday&text=Check%20out%20this%20event.%20Hope%20to%20see%20you%20there!"", ""linkedin"": ""https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.georgesriver.org%2Fevent-details%2Ftrail-ecosystem-workshop-volunteer-workday"", ""instagram"": ""https://www.instagram.com/georgesriverlandtrust/?hl=en""}"			https://www.facebook.com/GeorgesRiverLandTrust	https://www.instagram.com/georgesriverlandtrust/?hl=en		https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.georgesriver.org%2Fevent-details%2Ftrail-ecosystem-workshop-volunteer-workday
Maine	Great Pond Mountain Conservation Trust	https://www.greatpondtrust.org/	200	Great Pond Mountain Conservation Trust | Conserving land, water, and wildlife habitat in Hancock County, Maine.		|GET READY FOR YOUR NEXT WILDLANDS ADVENTURE|Whose Woods These Are . . .	Home|The Wildlands|About the Wildlands|Activities, Access, Maps|About GPMCT|Contact|About the Trust|Board & Staff|Annual Reports|News from GPMCT	https://www.greatpondtrust.org/membership-donating-volunteering/	https://www.greatpondtrust.org/volunteer-opportunities/		Yes	"{""facebook"": ""http://facebook.com/GPMCT/"", ""instagram"": ""http://instagram.com/gpmct_maine/""}"	WordPress	Google Analytics/Tag Manager	http://facebook.com/GPMCT/	http://instagram.com/gpmct_maine/		
Maine	Harpswell Heritage Land Trust	https://hhltmaine.org	200	Home - Harpswell Heritage Land Trust	Read more	|Primary navigation|Quick links	Get Outdoors|Find a Preserve or Trail|Harpswell Trail Guides|Programs & Events|Upcoming Events|Harpswell Hiking Club|Nature Day Camp|Youth Education Initiatives|Resources|News and Updates	https://hhltmaine.org/donate/	https://hhltmaine.org/support/volunteer/	https://hhltmaine.org/support/protect-your-land/	No	"{""facebook"": ""https://www.facebook.com/hhltmaine"", ""instagram"": ""https://www.instagram.com/harpswell_heritage_land_trust""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/hhltmaine	https://www.instagram.com/harpswell_heritage_land_trust		
Maine	Kennebec Estuary Land Trust	https://www.kennebecestuary.org	200	Kennebec Estuary Land Trust		Find your next adventure!|Strategizing for the Future|KELT Awarded Accreditation		https://www.kennebecestuary.org/support-2	https://www.kennebecestuary.org/volunteer		Yes	"{""facebook"": ""https://www.facebook.com/KennebecEstuaryLandTrust/"", ""instagram"": ""http://instagram.com/kennebec_estuary_land_trust""}"	Squarespace	Google Analytics/Tag Manager	https://www.facebook.com/KennebecEstuaryLandTrust/	http://instagram.com/kennebec_estuary_land_trust		
Maine	Kennebec Land Trust	https://www.tklt.org	200	Kennebec Land Trust	"The Kennebec Land Trust (KLT) works cooperatively with landowners and 
communities to conserve the forests, shorelands, fields, and wildlife that 
define central Maine. KLT protects land permanently, offers opportunities 
for people to learn about and enjoy the natural world, and works with 
partners to support sustainable forestry and farming."	|Upcoming Events:|News	|About|History|Mission|Employment Opportunities|Financials|Landowner Conservation Options|Newsletter|Online Store|Properties	https://www.tklt.org	https://www.tklt.org/volunteer	https://www.tklt.org/landowner-information-1	No	"{""facebook"": ""https://www.facebook.com/kennebeclandtrust/""}"	Squarespace	Google Analytics/Tag Manager	https://www.facebook.com/kennebeclandtrust/			
Maine	Loon Echo Land Trust	https://www.lelt.org/	200	Loon Echo Land Trust: Explore, Enjoy, Protect	Loon Echo Land Trust protects land in the northern Sebago Lake region of Maine to conserve its natural resources and character for future generations.	Get outside||About LELT	LELT Lands & Trails|Use Guidelines & Rules|Maine Trail Finder	https://www.lelt.org/ways-to-give	https://www.lelt.org/volunteering	https://www.lelt.org/conserve	Yes	"{""instagram"": ""https://www.instagram.com/loonecholandtrust/"", ""facebook"": ""https://www.facebook.com/loonecho/"", ""linkedin"": ""https://www.linkedin.com/company/loon-echo-land-trust/""}"	Webflow	Google Analytics/Tag Manager|Hotjar	https://www.facebook.com/loonecho/	https://www.instagram.com/loonecholandtrust/		https://www.linkedin.com/company/loon-echo-land-trust/
